region,scene_id,observation_date,cloud_cover_percent,masked_fraction,valid_pixel_fraction,valid_pixels,mean_ndvi,median_ndvi,std_ndvi
western_ghats,S2B_43PFM_20210207_3_L2A,2021-02-07,0.0003,0.0019,0.9858,63846,0.69111,0.744655,0.188763
western_ghats,S2B_43PFM_20211224_0_L2A,2021-12-24,0.3533,0.0323,0.9557,61901,0.677511,0.73311,0.205599
western_ghats,S2A_43PFM_20210314_0_L2A,2021-03-14,0.8555,0.0095,0.9783,63360,0.663269,0.725055,0.21033
western_ghats,S2A_43PFM_20210304_0_L2A,2021-03-04,0.9154,0.0265,0.9614,62271,0.638245,0.689624,0.206057
western_ghats,S2A_43PFM_20210304_2_L2A,2021-03-04,1.2244,0.053,0.9353,60577,0.644231,0.694837,0.205183
western_ghats,S2A_43PFM_20210202_0_L2A,2021-02-02,1.4795,0.0016,0.9861,63869,0.720543,0.785112,0.215614
western_ghats,S2A_43PFM_20210212_1_L2A,2021-02-12,2.0918,0.1251,0.8641,55965,0.687485,0.754434,0.223013
western_ghats,S2A_43PFM_20210212_0_L2A,2021-02-12,2.9918,0.1404,0.849,54989,0.682716,0.749391,0.220592
western_ghats,S2A_43PFM_20210324_1_L2A,2021-03-24,5.0627,0.0128,0.975,63149,0.661125,0.718928,0.192811
western_ghats,S2B_43PFM_20210217_0_L2A,2021-02-17,5.6814,0.0084,0.9794,63432,0.675938,0.74053,0.226084
western_ghats,S2A_43PFM_20211219_0_L2A,2021-12-19,7.8266,0.0068,0.981,63535,0.698195,0.754178,0.211869
western_ghats,S2A_43PFM_20211219_1_L2A,2021-12-19,8.241,0.012,0.9758,63202,0.696325,0.750802,0.208114
po_valley,S2B_32TNR_20211018_1_L2A,2021-10-18,0.0032,0.0,0.9888,46071,0.374656,0.346066,0.172655
po_valley,S2B_32TNR_20211018_0_L2A,2021-10-18,0.1157,0.0003,0.9886,46059,0.372096,0.343386,0.173556
po_valley,S2A_32TMR_20211013_1_L2A,2021-10-13,0.2837,0.0,0.9961,6375,0.407767,0.377399,0.187276
po_valley,S2B_32TMQ_20211018_1_L2A,2021-10-18,0.4365,0.0,0.9721,20655,0.331312,0.30568,0.22371
po_valley,S2A_32TNR_20211013_1_L2A,2021-10-13,0.7209,0.0,0.9888,46069,0.408072,0.390915,0.186412
po_valley,S2B_32TNR_20211207_0_L2A,2021-12-07,1.5735,0.0072,0.9817,45740,0.423002,0.402319,0.203344
po_valley,S2B_32TNQ_20211018_1_L2A,2021-10-18,2.4474,0.0,0.9901,27373,0.33375,0.310939,0.245766
po_valley,S2B_32TNQ_20211018_0_L2A,2021-10-18,3.0491,0.0041,0.986,27260,0.326383,0.303675,0.242582
po_valley,S2A_32TMR_20211202_0_L2A,2021-12-02,6.0099,0.5981,0.4003,2562,0.354289,0.324202,0.128044
po_valley,S2A_32TNR_20211222_1_L2A,2021-12-22,17.0321,0.6565,0.3397,15827,0.03265,0.03081,0.028579
brandenburg,S2B_33UUT_20210908_1_L2A,2021-09-08,0.0832,0.0168,0.9055,19241,0.662393,0.717726,0.190602
brandenburg,S2A_33UUT_20211010_0_L2A,2021-10-10,0.2279,0.0037,0.9176,19498,0.69626,0.743522,0.158804
brandenburg,S2B_33UUU_20211028_0_L2A,2021-10-28,1.7297,0.0047,0.9378,38652,0.618485,0.695661,0.279711
brandenburg,S2A_32UQD_20211122_0_L2A,2021-11-22,2.9902,0.1127,0.7833,33288,0.556405,0.598346,0.240733
brandenburg,S2A_32UQD_20210910_0_L2A,2021-09-10,3.9075,0.0286,0.8576,36443,0.646871,0.727273,0.245477
brandenburg,S2A_32UQD_20210910_1_L2A,2021-09-10,5.8223,0.0364,0.8507,36151,0.649431,0.729397,0.244979
brandenburg,S2A_33UUT_20211202_1_L2A,2021-12-02,8.6324,0.0078,0.9139,19418,0.609566,0.604151,0.14772
brandenburg,S2A_33UUU_20211030_0_L2A,2021-10-30,15.7086,0.0061,0.9364,38596,0.589063,0.649522,0.221032
brandenburg,S2A_32UQD_20211030_0_L2A,2021-10-30,16.828,0.0073,0.8763,37241,0.590526,0.653795,0.228348
brandenburg,S2A_33UUT_20211030_0_L2A,2021-10-30,21.5742,0.0173,0.9051,19232,0.650585,0.678491,0.147453
brandenburg,S2A_33UUU_20211023_0_L2A,2021-10-23,24.0694,0.5922,0.3842,15835,0.383178,0.363636,0.162906
brandenburg,S2B_33UUT_20211008_1_L2A,2021-10-08,25.7572,0.0127,0.9094,19322,0.68996,0.739667,0.161302
