feature_set,n_features,features,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1
A_raw_bands,6,blue green red nir swir16 swir22,42,0.5217,0.5426,0.5101,0.5223
A_raw_bands,6,blue green red nir swir16 swir22,123,0.5217,0.543,0.511,0.5222
A_raw_bands,6,blue green red nir swir16 swir22,2024,0.5218,0.5431,0.5108,0.5226
B_bands_ndvi,7,blue green red nir swir16 swir22 ndvi,42,0.5276,0.5448,0.5141,0.5304
B_bands_ndvi,7,blue green red nir swir16 swir22 ndvi,123,0.5259,0.5442,0.5138,0.5285
B_bands_ndvi,7,blue green red nir swir16 swir22 ndvi,2024,0.5255,0.543,0.5124,0.5283
C_bands_indices,9,blue green red nir swir16 swir22 ndvi ndwi ndbi,42,0.5375,0.5439,0.5165,0.5413
C_bands_indices,9,blue green red nir swir16 swir22 ndvi ndwi ndbi,123,0.5388,0.5449,0.5173,0.5424
C_bands_indices,9,blue green red nir swir16 swir22 ndvi ndwi ndbi,2024,0.5336,0.5414,0.513,0.5368
D_full,11,blue green red nir swir16 swir22 ndvi ndwi ndbi nbr bsi_partial,42,0.5302,0.5406,0.5124,0.5325
D_full,11,blue green red nir swir16 swir22 ndvi ndwi ndbi nbr bsi_partial,123,0.535,0.5448,0.5171,0.5374
D_full,11,blue green red nir swir16 swir22 ndvi ndwi ndbi nbr bsi_partial,2024,0.5323,0.5437,0.5156,0.5349
