model,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_seconds,inference_seconds,train_samples,test_samples
random_forest,42,0.5302,0.5406,0.5124,0.5325,14.743,0.7057,104121,37647
random_forest,123,0.535,0.5448,0.5171,0.5374,17.016,0.2094,104121,37647
random_forest,2024,0.5323,0.5437,0.5156,0.5349,16.44,0.6947,104121,37647
hist_gradient_boosting,42,0.5513,0.5706,0.5468,0.5554,5.229,0.4478,104121,37647
hist_gradient_boosting,123,0.5554,0.5687,0.5446,0.5609,6.569,1.6737,104121,37647
hist_gradient_boosting,2024,0.5564,0.5712,0.5469,0.5614,4.181,0.427,104121,37647
linear_svm,42,0.5515,0.5752,0.5501,0.5547,4.44,0.0277,104121,37647
linear_svm,123,0.5513,0.5749,0.5498,0.5545,6.614,0.0272,104121,37647
linear_svm,2024,0.5512,0.5748,0.5497,0.5544,2.748,0.0246,104121,37647
mlp,42,0.5385,0.5831,0.5472,0.5412,11.638,0.0176,104121,37647
mlp,123,0.5521,0.5992,0.5618,0.5532,12.317,0.0167,104121,37647
mlp,2024,0.5612,0.6034,0.5665,0.5609,10.654,0.0173,104121,37647
