region,period_a,period_b,scene_a,scene_b,moderate_threshold,significant_threshold,changed_area_percent,changed_area_km2,decreased_percent,increased_percent,stable_percent,moderate_decrease_percent,significant_decrease_percent,moderate_increase_percent,significant_increase_percent,comparable_pixels,mean_ndvi_change
western_ghats,p2021,p2024,S2B_43PFM_20210207_3_L2A,S2B_43PFM_20240123_0_L2A,0.05,0.1,18.832,73.499876,5.521,13.311,81.168,2.973,2.547,10.727,2.584,143100,0.015373
western_ghats,p2021,p2024,S2B_43PFM_20210207_3_L2A,S2B_43PFM_20240123_0_L2A,0.1,0.2,5.131,20.025089,2.547,2.584,94.869,1.709,0.838,2.257,0.326,143100,0.015373
western_ghats,p2021,p2024,S2B_43PFM_20210207_3_L2A,S2B_43PFM_20240123_0_L2A,0.15,0.3,2.312,9.0252,1.421,0.891,97.688,1.239,0.182,0.805,0.086,143100,0.015373
western_ghats,p2021,p2024,S2B_43PFM_20210207_3_L2A,S2B_43PFM_20240123_0_L2A,0.2,0.4,1.164,4.543966,0.838,0.326,98.836,0.81,0.028,0.3,0.027,143100,0.015373
po_valley,p2021,p2024,S2A_32TNR_20210225_1_L2A,S2A_32TNR_20240111_0_L2A,0.05,0.1,58.875,152.651388,29.382,29.493,41.125,10.5,18.882,11.898,17.595,95004,-0.002727
po_valley,p2021,p2024,S2A_32TNR_20210225_1_L2A,S2A_32TNR_20240111_0_L2A,0.1,0.2,36.477,94.578143,18.882,17.595,63.523,9.841,9.042,9.837,7.758,95004,-0.002727
po_valley,p2021,p2024,S2A_32TNR_20210225_1_L2A,S2A_32TNR_20240111_0_L2A,0.15,0.3,24.257,62.892896,12.976,11.281,75.743,8.576,4.4,7.13,4.15,95004,-0.002727
po_valley,p2021,p2024,S2A_32TNR_20210225_1_L2A,S2A_32TNR_20240111_0_L2A,0.2,0.4,16.799,43.55698,9.042,7.758,83.201,6.822,2.22,5.539,2.219,95004,-0.002727
brandenburg,p2021,p2024,S2A_32UQD_20210222_1_L2A,S2A_32UQD_20240308_0_L2A,0.05,0.1,27.448,67.443313,13.736,13.712,72.552,10.511,3.225,7.521,6.191,84072,-0.000263
brandenburg,p2021,p2024,S2A_32UQD_20210222_1_L2A,S2A_32UQD_20240308_0_L2A,0.1,0.2,9.416,23.13578,3.225,6.191,90.584,2.817,0.408,4.707,1.484,84072,-0.000263
brandenburg,p2021,p2024,S2A_32UQD_20210222_1_L2A,S2A_32UQD_20240308_0_L2A,0.15,0.3,4.186,10.284842,1.161,3.025,95.814,1.093,0.068,2.629,0.396,84072,-0.000263
brandenburg,p2021,p2024,S2A_32UQD_20210222_1_L2A,S2A_32UQD_20240308_0_L2A,0.2,0.4,1.892,4.649953,0.408,1.484,98.108,0.395,0.013,1.432,0.052,84072,-0.000263
