experiment,status,runtime_seconds,finished_at,output
baseline,completed,172.28,2026-08-17T20:14:19.619342+00:00,C:\Users\LOQ\naturevision\backend\research\results\baseline
spatial_validation,completed,310.26,2026-08-17T20:19:29.911257+00:00,C:\Users\LOQ\naturevision\backend\research\results\spatial_validation
model_comparison,completed,530.29,2026-08-17T20:28:20.227248+00:00,C:\Users\LOQ\naturevision\backend\research\results\model_comparison
feature_ablation,completed,494.86,2026-08-17T20:36:35.120102+00:00,C:\Users\LOQ\naturevision\backend\research\results\feature_ablation
temporal_transfer,completed,683.48,2026-08-17T20:47:58.624007+00:00,C:\Users\LOQ\naturevision\backend\research\results\temporal_transfer
confidence_analysis,completed,51.62,2026-08-17T20:48:50.275906+00:00,C:\Users\LOQ\naturevision\backend\research\results\confidence_analysis
feature_importance,completed,69.04,2026-08-17T20:49:59.340154+00:00,C:\Users\LOQ\naturevision\backend\research\results\feature_importance
class_imbalance,completed,47.99,2026-08-17T20:50:47.370145+00:00,C:\Users\LOQ\naturevision\backend\research\results\class_imbalance
cloud_robustness,completed,122.45,2026-08-17T20:52:49.864760+00:00,C:\Users\LOQ\naturevision\backend\research\results\cloud_robustness
threshold_sensitivity,completed,51.55,2026-08-17T20:53:41.443384+00:00,C:\Users\LOQ\naturevision\backend\research\results\threshold_sensitivity
llm_grounding,completed,9.91,2026-08-17T20:53:51.379014+00:00,C:\Users\LOQ\naturevision\backend\research\results\llm_grounding
