model,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_seconds,inference_seconds,train_samples,test_samples
random_forest,42,0.5302,0.5406,0.5124,0.5325,49.831,0.7696,104121,37647
random_forest,123,0.535,0.5448,0.5171,0.5374,50.589,0.7998,104121,37647
random_forest,2024,0.5323,0.5437,0.5156,0.5349,47.701,0.7089,104121,37647
hist_gradient_boosting,42,0.5513,0.5706,0.5468,0.5554,48.177,2.1574,104121,37647
hist_gradient_boosting,123,0.5554,0.5687,0.5446,0.5609,47.082,2.1289,104121,37647
hist_gradient_boosting,2024,0.5564,0.5712,0.5469,0.5614,46.53,2.1385,104121,37647
linear_svm,42,0.5515,0.5752,0.5501,0.5547,14.506,0.0956,104121,37647
linear_svm,123,0.5513,0.5749,0.5498,0.5545,13.382,0.0953,104121,37647
linear_svm,2024,0.5512,0.5748,0.5497,0.5544,12.386,0.0958,104121,37647
mlp,42,0.5385,0.5831,0.5472,0.5412,62.18,0.0927,104121,37647
mlp,123,0.5521,0.5992,0.5618,0.5532,59.074,0.0913,104121,37647
mlp,2024,0.5612,0.6034,0.5665,0.5609,63.605,0.0878,104121,37647
