train_period,test_period,kind,seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_samples,test_samples
p2021,p2021,same-period,42,0.5699,0.5698,0.551,0.5658,116234,37647
p2021,p2021,same-period,123,0.57,0.5689,0.5498,0.5655,116234,37647
p2021,p2021,same-period,2024,0.5711,0.5702,0.551,0.5668,116234,37647
p2021,p2024,forward transfer,42,0.6127,0.5894,0.5775,0.6122,116234,37679
p2021,p2024,forward transfer,123,0.6151,0.5921,0.5802,0.6147,116234,37679
p2021,p2024,forward transfer,2024,0.6169,0.5915,0.5804,0.617,116234,37679
p2024,p2024,same-period,42,0.6376,0.6331,0.6069,0.655,122020,37679
p2024,p2024,same-period,123,0.6391,0.6346,0.6084,0.6565,122020,37679
p2024,p2024,same-period,2024,0.6379,0.6338,0.6075,0.6555,122020,37679
p2024,p2021,backward transfer,42,0.5141,0.5555,0.5132,0.5165,122020,37647
p2024,p2021,backward transfer,123,0.5105,0.5528,0.5098,0.5122,122020,37647
p2024,p2021,backward transfer,2024,0.5109,0.5528,0.5103,0.5129,122020,37647
